Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,Value
2010,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,,PT,2.88
2011,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,,PT,2.22
2012,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,,PT,1.96
2013,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,,PT,2.18
2014,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,,PT,2.1
2015,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,,PT,2.33
2016,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,,PT,2.3
2017,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,,PT,2.24
2018,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,,PT,2.19
2019,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,,PT,2.17
2010,A,0,_X,A,N,SL_TLF_UEM,VN,M,Y_GE15,,PT,4.29
2011,A,0,_X,A,N,SL_TLF_UEM,VN,M,Y_GE15,,PT,3.6
2012,A,0,_X,A,N,SL_TLF_UEM,VN,M,Y_GE15,,PT,3.21
2013,A,0,_X,A,N,SL_TLF_UEM,VN,M,Y_GE15,,PT,3.59
2014,A,0,_X,A,N,SL_TLF_UEM,VN,M,Y_GE15,,PT,2.09
2015,A,0,_X,A,N,SL_TLF_UEM,VN,M,Y_GE15,,PT,2.39
2016,A,0,_X,A,N,SL_TLF_UEM,VN,M,Y_GE15,,PT,2.37
2017,A,0,_X,A,N,SL_TLF_UEM,VN,M,Y_GE15,,PT,2.36
2018,A,0,_X,A,N,SL_TLF_UEM,VN,M,Y_GE15,,PT,1.97
2019,A,0,_X,A,N,SL_TLF_UEM,VN,M,Y_GE15,,PT,2.09
2010,A,0,_X,A,N,SL_TLF_UEM,VN,F,Y_GE15,,PT,2.3
2011,A,0,_X,A,N,SL_TLF_UEM,VN,F,Y_GE15,,PT,1.6
2012,A,0,_X,A,N,SL_TLF_UEM,VN,F,Y_GE15,,PT,1.39
2013,A,0,_X,A,N,SL_TLF_UEM,VN,F,Y_GE15,,PT,1.54
2014,A,0,_X,A,N,SL_TLF_UEM,VN,F,Y_GE15,,PT,2.1
2015,A,0,_X,A,N,SL_TLF_UEM,VN,F,Y_GE15,,PT,2.26
2016,A,0,_X,A,N,SL_TLF_UEM,VN,F,Y_GE15,,PT,2.22
2017,A,0,_X,A,N,SL_TLF_UEM,VN,F,Y_GE15,,PT,2.11
2018,A,0,_X,A,N,SL_TLF_UEM,VN,F,Y_GE15,,PT,2.46
2019,A,0,_X,A,N,SL_TLF_UEM,VN,F,Y_GE15,,PT,2.26
2014,A,0,_X,A,N,SL_TLF_UEM,VN,,Y15T24,,PT,6.26
2015,A,0,_X,A,N,SL_TLF_UEM,VN,,Y15T24,,PT,7.03
2016,A,0,_X,A,N,SL_TLF_UEM,VN,,Y15T24,,PT,7.43
2017,A,0,_X,A,N,SL_TLF_UEM,VN,,Y15T24,,PT,7.5
2018,A,0,_X,A,N,SL_TLF_UEM,VN,,Y15T24,,PT,6.92
2019,A,0,_X,A,N,SL_TLF_UEM,VN,,Y15T24,,PT,6.51
2014,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE50,,PT,3.52
2015,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE50,,PT,0.86
2016,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE50,,PT,0.84
2017,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE50,,PT,0.86
2018,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE50,,PT,0.99
2019,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE50,,PT,0.7
2010,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,U,PT,4.29
2014,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,U,PT,3.4
2015,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,U,PT,3.56
2016,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,U,PT,3.21
2017,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,U,PT,3.17
2018,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,U,PT,3.1
2019,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,U,PT,3.11
2010,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,R,PT,2.3
2014,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,R,PT,1.49
2015,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,R,PT,1.9
2016,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,R,PT,1.84
2017,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,R,PT,1.77
2018,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,R,PT,1.74
2019,A,0,_X,A,N,SL_TLF_UEM,VN,,Y_GE15,R,PT,1.69
